bbox,full_id,direction,longitude,latitude
8,n8640515600,forward,10.1244361,53.5985422
13,n5915692322,forward,9.9829879,53.5900252
12,n6063154848,,9.9720553,53.5854393
13,n8223839482,backward,9.9889389,53.5778392
7,n5541253050,,9.9819264,53.4615483
9,n6867154911,forward,9.9078647,53.6203838
13,n9195273537,backward,9.9861391,53.5744485
12,n426774813,,9.9773814,53.5712734
4,n6367475799,,10.0323772,53.5914523
12,n8423211344,backward,9.9792566,53.5812163
0,n6564661047,forward,9.9626773,53.5495862
4,n10009310685,forward,10.0441231,53.5914784
8,n3528686849,backward,10.1188936,53.5852094
2,n8691246749,backward,10.0453392,53.5656055
12,n5795710270,backward,9.9696746,53.5716631
12,n9006745851,backward,9.9829274,53.5839479
4,n3452459151,forward,10.0316283,53.5959754
4,n3527747758,backward,10.0465156,53.595819
5,n6358726563,,10.0078957,53.4967027
7,n4784238012,forward,9.9801657,53.4513956
2,n7160216998,backward,10.0569673,53.5658038
2,n6125461999,forward,10.0587413,53.5512216
4,n354086498,,10.0410524,53.5799823
13,n6882899436,forward,9.9839142,53.5906255
7,n7131988398,forward,9.9993264,53.4559279
7,n5713358726,forward,9.9939294,53.4650929
7,n7135277340,backward,9.9823429,53.4641184
7,n7622926162,,9.9820345,53.4634298
7,n5614947860,forward,9.9819976,53.4604827
2,n2027846016,forward,10.040863,53.5556362
13,n619078236,,9.986119,53.5810966
12,n426774812,backward,9.9771853,53.571599
11,n8441464449,forward,10.1884679,53.6079816
0,n6571199985,,9.9532293,53.5463264
8,n8640506720,backward,10.1073697,53.5992433
1,n3433668841,backward,10.1423077,53.628421
12,n8812271336,forward,9.9638828,53.579231
4,n617962630,,10.0546536,53.5919467
12,n8812237413,forward,9.9564073,53.5825664
9,n1337106642,backward,9.9052144,53.6100425
12,n8812271350,forward,9.9635958,53.5794836
12,n5077433446,backward,9.9711784,53.5678573
7,n6553330963,forward,9.981614,53.4583502
8,n5678515931,,10.0991233,53.5890851
12,n663845359,,9.9743639,53.5735665
8,n8561944143,forward,10.1245879,53.5882939
11,n5508180252,,10.179998,53.6032298
14,n6036742756,,10.1349272,53.5268671
12,n3653916629,,9.9589206,53.5719079
0,n6815443670,,9.9558412,53.5514781
12,n8493727537,backward,9.9743419,53.5693333
0,n8835177796,n,9.962652,53.5483933
7,n8909747862,backward,9.9907912,53.4656421
4,n614848369,,10.0498038,53.5915451
2,n2368696401,,10.067377,53.5533533
9,n8983604724,forward,9.9014294,53.6100375
8,n8561866222,forward,10.1248683,53.5859073
12,n5795710272,forward,9.9700933,53.5719704
11,n11377762035,backward,10.1856076,53.6078125
13,n568834753,,9.982201,53.5898336
7,n21765821,forward,9.9790346,53.4650258
8,n8640515597,backward,10.1249951,53.598576
9,n1199871495,forward,9.9081553,53.6205375
12,n5077431412,,9.9709336,53.5677064
9,n1199871477,forward,9.9082264,53.6202339
4,n2260812627,forward,10.0426659,53.5889949
5,n2586224898,backward,10.007717,53.4965297
12,n8116377252,forward,9.9560002,53.5681248
8,n8561944169,forward,10.1225363,53.5871248
13,n957842739,,9.9821736,53.5870683
2,n638908274,backward,10.0418914,53.5509474
9,n5168652516,forward,9.9085098,53.6204232
12,n8812271355,forward,9.9634441,53.5790505
2,n6469292835,forward,10.0428205,53.5554874
2,n879454884,forward,10.0471727,53.5587304
0,n2798199892,forward,9.9580892,53.5516422
9,n9283805951,forward,9.9034527,53.6089179
2,n8691246747,forward,10.045784,53.5653976
12,n8988347663,forward,9.9814545,53.5851054
7,n1366806347,forward,9.9971566,53.4567646
1,n2695405818,,10.1411024,53.6291027
11,n8442618342,forward,10.1856387,53.6076331
4,n8691205267,backward,10.0460416,53.5788368
9,n5593354356,forward,9.9047004,53.6086955
4,n11468860624,forward,10.0443038,53.5930835
12,n8953305400,forward,9.9555502,53.5753125
4,n614848343,,10.0514597,53.5869659
3,n1370761342,both,9.8704043,53.6067538
12,n3816068521,,9.9577367,53.5702408
2,n371145268,,10.0506722,53.561008
8,n5656902756,,10.105142,53.5902466
4,n617307768,forward,10.0573138,53.5799038
12,n10073919673,,9.9787359,53.5711145
12,n3950541403,,9.9792136,53.5697416
12,n8423211350,forward,9.9799124,53.5830091
0,n6207322847,,9.9493856,53.5491216
7,n5696363659,forward,9.9935395,53.4652302
9,n32242588,backward,9.9054827,53.6077821
4,n5687730693,,10.0463319,53.5828676
7,n11465946301,forward,10.0070744,53.4555816
12,n8812271332,backward,9.9649107,53.5789842
13,n9201038521,forward,10.003204,53.580898
2,n8714180528,forward,10.0474099,53.5585956
7,n15839206,forward,9.9841009,53.4572101
7,n7131988397,backward,9.9992264,53.4561686
10,n6439522784,,10.2096763,53.5127892
2,n3201491856,,10.0655588,53.5539438
2,n1029959900,backward,10.0476712,53.5614094
7,n8201183152,forward,9.9969843,53.4569675
9,n1199871534,,9.9074901,53.6180703
4,n6007422953,backward,10.0553647,53.5827501
2,n6893197128,forward,10.0385789,53.5595331
8,n8561944156,forward,10.1245171,53.5879148
7,n2057039188,forward,9.9986948,53.4560833
10,n189052849,both,10.2048085,53.5110244
1,n2695405798,,10.1405271,53.6289744
2,n623886431,,10.0672061,53.5629392
2,n1091824362,forward,10.0507037,53.5553576
12,n3950544817,forward,9.9777657,53.5712905
7,n8727077655,backward,9.9904359,53.4551228
4,n673416456,,10.0330521,53.5825208
4,n2399922064,,10.0402551,53.5804603
13,n319216966,,9.9833912,53.5863346
12,n635789572,forward,9.965971,53.5692228
12,n3816068502,,9.9635743,53.5695231
12,n3816068509,forward,9.9629979,53.5696363
12,n3950847133,,9.9732447,53.5808135
4,n5828839531,,10.0413956,53.5826137
13,n6063154835,backward,9.9773891,53.587265
9,n9283805955,backward,9.9034938,53.6086602
4,n5687730692,,10.0468435,53.5828893
4,n6242083546,,10.0611083,53.5809289
10,n6425881199,forward,10.2109541,53.507766
12,n3816068498,forward,9.9548312,53.5693771
12,n3816068522,forward,9.9565834,53.5703313
4,n354117707,,10.0409093,53.5799117
2,n6152658581,forward,10.0475376,53.5609654
1,n2695405812,,10.1408429,53.6290654
7,n6373113601,forward,9.9987213,53.4633866
7,n8727077654,forward,9.9894923,53.4557911
13,n16712087,,9.9995172,53.5852901
10,n1667154813,,10.2216176,53.505311
12,n9195273544,forward,9.981855,53.5726589
14,n6393973756,,10.1478146,53.5216185
2,n6873208762,forward,10.0491899,53.5521453
4,n6080155438,backward,10.0411821,53.5829723
2,n11001901230,forward,10.0621044,53.5505362
2,n10124060530,,10.0432047,53.5559937
7,n7135277342,forward,9.9820606,53.463977
8,n627291199,,10.1003046,53.5844459
5,n7472311590,,10.00904,53.4963124
7,n5758589234,forward,9.9877957,53.4514572
0,n8835177790,forward,9.9632019,53.5470058
4,n7788347271,,10.0323296,53.5794489
2,n6206278136,,10.0572679,53.5643911
13,n6882899435,forward,9.9827242,53.5902355
2,n6911209944,forward,10.0650603,53.5503985
1,n454208823,,10.1460277,53.6239311
13,n6063154841,forward,9.9741302,53.5866106
0,n6566612773,forward,9.9649595,53.5497149
11,n8442618343,backward,10.1857166,53.6076396
12,n5681416142,,9.9691204,53.5850376
2,n879454886,forward,10.0469753,53.5585243
13,n257109262,forward,9.9820138,53.5895837
2,n638908277,backward,10.0415817,53.5511143
12,n3816068517,,9.9578857,53.5700146
12,n6349246023,forward,9.9817438,53.5854775
5,n8497764495,forward,10.0013606,53.5002272
8,n8640515599,backward,10.124583,53.5983161
0,n10060669629,forward,9.9557803,53.5497222
0,n6815443671,forward,9.955438,53.5498972
12,n8953305402,forward,9.9551287,53.5752079
0,n1752628889,forward,9.9696692,53.5497865
0,n8235049911,forward,9.9558936,53.5498766
12,n8812237414,backward,9.9561691,53.58152
7,n11465946302,backward,10.0074583,53.455399
13,n955946378,,9.9825043,53.587639
12,n3950848186,,9.9762794,53.5781618
4,n26105830,,10.0472704,53.5840409
12,n11694632884,forward,9.9782704,53.5711995
4,n361645019,forward,10.0442936,53.5927619
4,n6045973306,forward,10.046855,53.5958566
5,n7468299895,backward,10.0137538,53.5014594
7,n5614947880,,9.9826591,53.460353
5,n5794182761,forward,10.004362,53.5060998
4,n6054539197,,10.033674,53.5835993
12,n9006289855,,9.969756,53.5809969
10,n2389071149,,10.2083067,53.4960625
12,n703614580,backward,9.9733668,53.5744088
2,n6875053643,forward,10.054343,53.551562
2,n8714180565,forward,10.0459538,53.5583529
9,n1347626606,forward,9.9069666,53.6161193
4,n614848382,forward,10.0500167,53.5943738
2,n903147507,forward,10.0669277,53.5500747
4,n7788347250,,10.0325377,53.5798544
4,n6367475798,,10.0323299,53.5915914
12,n5077434229,,9.9708514,53.5677136
9,n1618694954,both,9.8983454,53.6121059
4,n5834050943,backward,10.0526807,53.5883378
7,n6553330966,forward,9.9794611,53.457254
2,n11001901231,forward,10.062784,53.5505422
10,n6425881198,forward,10.2108055,53.5078173
12,n5916100701,,9.9592189,53.5722552
12,n703684868,,9.9772556,53.5775406
4,n2758262118,backward,10.0329579,53.5871723
4,n354117700,,10.0403115,53.5803009
13,n569648480,forward,9.9836223,53.5905987
7,n5696142839,backward,9.9907945,53.4659242
12,n8423211349,forward,9.980087,53.5827608
0,n5835930856,forward,9.9694736,53.5502622
4,n6007422954,backward,10.0557383,53.5827135
4,n614848366,,10.0496416,53.591669
10,n9695669576,backward,10.2106694,53.5018045
12,n5795710271,backward,9.9701893,53.5716963
4,n248963653,,10.0433945,53.5818193
4,n6045973305,backward,10.0463941,53.5961161
4,n354086467,,10.0406111,53.5797334
3,n7095171927,,9.8545144,53.5982697
0,n5835930857,forward,9.9690622,53.5500107
7,n21671759,,9.990363,53.4525565
12,n5158386697,forward,9.9559794,53.5681599
8,n672976692,,10.1067921,53.5887156
12,n8116377254,backward,9.9560448,53.5682757
14,n260130047,,10.1349079,53.5267921
4,n614848372,,10.0501169,53.591672
5,n7467173913,backward,10.0128984,53.4936047
12,n3950848171,,9.9778019,53.5775809
5,n7472311676,forward,10.0041257,53.505787
8,n3528686850,,10.1189886,53.5855301
10,n9695669579,backward,10.2104764,53.5016182
0,n236789227,forward,9.9691294,53.5511402
4,n3472670180,forward,10.04254,53.589191
5,n6358726569,,10.0000545,53.4983491
2,n5720120846,forward,10.0391641,53.5591266
13,n5915708647,forward,9.9837827,53.5904378
2,n10215554081,forward,10.0391594,53.5595427
11,n6515420664,,10.1833445,53.6070703
12,n8423211338,forward,9.974998,53.5829825
4,n614848319,,10.0498037,53.5877924
4,n3039342905,,10.0455276,53.5885202
12,n3816068493,forward,9.9637406,53.569167
7,n6461327651,backward,9.9913383,53.4543167
12,n7442781319,forward,9.9610874,53.5737611
7,n5555030412,,9.9816316,53.4619367
7,n6553450079,forward,9.9825787,53.4520076
8,n2759227032,,10.1088942,53.5923148
7,n5555056897,,9.9817617,53.4636709
0,n6815443669,,9.956143,53.5516987
7,n7131988428,forward,10.0050376,53.4535051
4,n283615530,,10.0602534,53.584853
12,n3950815917,,9.9756775,53.5787017
13,n960118971,forward,9.9873438,53.5904279
2,n6911209942,forward,10.0645287,53.5502491
1,n1643895191,,10.145703,53.6240888
13,n9201038519,backward,10.0032759,53.5806111
2,n5433079697,forward,10.0651742,53.5502815
2,n1029959880,forward,10.0472715,53.5611405
13,n8223839491,forward,9.9888998,53.5785936
2,n6469292837,forward,10.0475279,53.5587414
0,n6815443666,forward,9.9623202,53.5510483
12,n707533999,forward,9.9615516,53.5738102
7,n5555056890,,9.9823035,53.4636102
7,n5555104972,,9.9862356,53.4600117
4,n5725231015,forward,10.0318172,53.5795631
13,n7449146032,backward,10.0029659,53.5873286
4,n285088392,,10.0611257,53.5890477
7,n6461327355,forward,9.9888996,53.4575184
11,n8442618365,forward,10.1860844,53.6076364
12,n8707360690,forward,9.9618324,53.5779734
0,n1033371496,,9.9693802,53.545826
4,n8423547110,forward,10.0416513,53.584703
2,n7160217000,backward,10.0572245,53.5661119
7,n8909747863,forward,9.9901817,53.4657899
2,n6875053639,forward,10.0537681,53.551343
12,n8812271330,forward,9.9648264,53.5788069
5,n1788824051,forward,10.0002249,53.4981888
2,n6126299180,,10.0425714,53.5560357
0,n718985313,forward,9.9713415,53.5501331
2,n6582740840,backward,10.0668089,53.5629663
4,n5974195819,backward,10.0571128,53.5802568
13,n9195273529,forward,9.9857599,53.5776348
11,n8442618344,forward,10.1856366,53.6074903
4,n6367475801,forward,10.0535587,53.584796
13,n7017930869,backward,9.9757123,53.5888625
12,n563851682,forward,9.9555043,53.5704145
12,n294129460,,9.9776878,53.5773113
12,n3950541404,,9.9789904,53.5697785
5,n2072324736,forward,10.0135216,53.5016052
8,n8561852614,forward,10.1247098,53.5862804
12,n6112881849,forward,9.9594631,53.5748391
2,n9146502755,forward,10.0573697,53.5551638
2,n5682404093,,10.061177,53.5602607
0,n5725197194,,9.9540304,53.5534706
12,n8297298379,forward,9.9674963,53.5722357
4,n11608212672,,10.0569956,53.5799881
0,n1509527157,forward,9.9510508,53.5466907
13,n5915692621,forward,9.9827505,53.5900542
12,n9006605461,forward,9.9809961,53.584736
2,n6582740838,backward,10.0674314,53.5631539
4,n8423547109,forward,10.0420221,53.5848142
12,n7442781323,backward,9.9641728,53.5731979
13,n5915708649,forward,9.9833341,53.5898378
2,n10216700705,forward,10.0395181,53.5576681
12,n3950847131,,9.9731692,53.5807838
0,n7558904777,,9.9651544,53.5510519
2,n6873208735,forward,10.0484214,53.5521629
12,n6063154847,,9.9721347,53.585278
12,n8423211341,backward,9.9751279,53.5831914
1,n7177816735,forward,10.1601946,53.6255433
4,n2758340476,,10.0326814,53.5910065
0,n3032426963,forward,9.9697957,53.5459823
4,n8691205266,forward,10.0458055,53.5789863
1,n2695405743,,10.1404454,53.6286281
9,n1370785814,forward,9.9090583,53.6229603
9,n54809199,backward,9.9057262,53.6079629
4,n614848325,forward,10.0494719,53.5876734
12,n9006605462,forward,9.9808844,53.5848404
7,n8120554319,forward,10.0045085,53.4628695
0,n5814438385,forward,9.9659925,53.553003
1,n7177816734,forward,10.1602221,53.6253349
13,n5943781959,,9.9914315,53.5884748
7,n305506201,,9.9804042,53.4606958
12,n11978181371,,9.9696478,53.5808284
8,n678969160,forward,10.1178673,53.6000183
9,n1199871561,,9.9075855,53.6177509
7,n5682719327,forward,9.9909747,53.454655
13,n4447342292,forward,9.9914249,53.5893585
12,n5077431410,,9.9710717,53.5677979
5,n6448704120,forward,10.0038463,53.497295
0,n6815503218,forward,9.9583678,53.5495558
2,n6873208736,forward,10.0487082,53.5519594
4,n7878438520,,10.0322454,53.5931222
13,n619078233,,9.9859877,53.581426
7,n5555039044,,9.9820675,53.4617379
7,n10873334102,forward,10.0026683,53.4630538
13,n5723231292,backward,9.98872,53.5744494
7,n5555039019,,9.98146,53.4617132
1,n621428804,,10.1404563,53.6291802
2,n6875053647,forward,10.0535525,53.5515445
7,n7131988399,forward,9.9988998,53.4558187
12,n9006289857,forward,9.9722446,53.58185
0,n5145129935,forward,9.9630908,53.5465132
7,n5353432827,forward,9.9871866,53.4517909
4,n5717009555,,10.0436028,53.581658
1,n21520146,,10.1446436,53.6331256
13,n619078234,,9.9863,53.5812647
4,n3482567350,forward,10.0467292,53.5961629
2,n5687746166,forward,10.0420591,53.5553729
8,n8640515596,backward,10.1250191,53.5983593
13,n16738082,,9.9936644,53.5777108
4,n5687730696,,10.0465576,53.5832608
2,n8714180520,forward,10.0469447,53.5582509
7,n6461327743,forward,9.9874358,53.4500167
12,n7442781320,backward,9.9614429,53.5740725
0,n676151052,,9.9709413,53.5500085
4,n6080155434,,10.0433286,53.5819125
12,n8423211340,backward,9.9756364,53.5831999
0,n8835177791,backward,9.9627013,53.5469729
13,n9195273535,backward,9.9863967,53.5742548
7,n6300855676,backward,9.9849014,53.4569186
2,n1094105267,backward,10.0572677,53.5658255
2,n10215554099,forward,10.0385737,53.5590974
12,n9195273543,forward,9.9818091,53.5723424
12,n11978181356,,9.9694351,53.5809772
2,n11001901232,forward,10.0623473,53.5507077
7,n6300855675,backward,9.9855401,53.4567739
12,n3950848019,backward,9.9788698,53.5723069
4,n6422763463,,10.0475699,53.5841158
12,n9195273546,backward,9.981588,53.5724773
12,n3950545431,,9.9785464,53.5717971
12,n298074902,,9.9786574,53.5709691
4,n817570793,both,10.0490392,53.5869212
7,n10873334101,backward,10.0028959,53.4631427
4,n5720613312,forward,10.0503544,53.5939915
4,n614848326,,10.0511775,53.5864994
4,n614848350,,10.0515798,53.5865667
4,n3452459158,forward,10.0318656,53.5962484
13,n955946312,,9.9823981,53.5877868
7,n5555104971,forward,9.9865709,53.4598767
5,n7048807545,forward,10.0042627,53.5059847
4,n617962632,,10.0551658,53.5918317
2,n10215554074,forward,10.039106,53.5590982
0,n8835172594,backward,9.9660854,53.5463301
13,n9195273522,backward,9.9858422,53.5787872
1,n2418658707,,10.1403299,53.6290032
7,n2948321347,,9.9888577,53.4578507
2,n2437003088,forward,10.0406671,53.5552897
10,n8244983546,,10.2083579,53.4959339
2,n6875053635,forward,10.0541011,53.5517398
13,n510133427,,9.9971105,53.5842822
2,n623030059,,10.0555549,53.5609399
12,n11961996686,,9.9711626,53.5712474
2,n6873208707,forward,10.0402563,53.5525053
4,n2758262245,forward,10.0328699,53.5878787
5,n6448704121,forward,10.0042315,53.4972939
5,n290909856,backward,10.0000464,53.4993005
4,n5687363714,backward,10.0560908,53.5916424
12,n8812237412,backward,9.9562157,53.5827513
13,n5943781958,,9.9916627,53.5883533
1,n3433668846,backward,10.1423021,53.6286075
4,n614848364,forward,10.0445182,53.5912492
5,n1920834076,forward,10.0058402,53.5061311
12,n3950848172,,9.9773873,53.5776125
0,n5814438384,backward,9.9657025,53.5532528
10,n9695669578,forward,10.2109566,53.5017187
0,n3032426967,forward,9.9690273,53.5460605
13,n5915692321,forward,9.9829115,53.5898618
2,n8735829276,forward,10.0430675,53.5559587
12,n8493727536,forward,9.9738404,53.5693625
5,n7467173914,forward,10.0128004,53.4936714
12,n3950815906,,9.9763623,53.5782233
11,n621422123,forward,10.1826982,53.6069011
12,n3816068512,forward,9.9547046,53.5697324
7,n130027624,both,10.007155,53.4628611
12,n703614577,forward,9.9733964,53.5741512
7,n5555104969,forward,9.986437,53.4602323
4,n673394440,,10.0324839,53.5917836
1,n56461685,,10.134182,53.6374246
13,n327484184,,9.9856537,53.5881916
0,n6815443660,backward,9.9623991,53.5513534
2,n6125462019,forward,10.0590026,53.5507574
0,n1516374732,forward,9.9540397,53.5456895
12,n3816070400,forward,9.9562653,53.5705933
0,n5814325058,,9.9507629,53.5463386
13,n20238290,,9.9939788,53.5728112
9,n1370785889,forward,9.9088749,53.6231423
7,n6553450081,backward,9.9825399,53.4523314
12,n12145823401,backward,9.9556741,53.5793861
7,n6461327652,forward,9.9875295,53.4521297
4,n3452459168,forward,10.0314016,53.5964349
0,n6564661049,backward,9.9625102,53.5491161
12,n3950815920,,9.9758504,53.5787554
12,n3144002047,,9.9782489,53.5723783
13,n5723231293,forward,9.9885126,53.5742492
4,n363384148,forward,10.0452528,53.5897802
12,n427065984,backward,9.9714723,53.5712105
12,n6274099093,forward,9.9611291,53.5763149
0,n6815503217,forward,9.9585386,53.5496106
8,n8640515602,backward,10.1181017,53.6001246
2,n638908276,forward,10.0417517,53.5507806
10,n6439527015,,10.2092128,53.5128893
11,n6515420670,,10.1828255,53.6071443
1,n790395544,,10.1507329,53.6250788
4,n2758262134,,10.0332153,53.5873888
2,n5687746165,forward,10.0422692,53.5554452
7,n5758550552,forward,9.9892676,53.4574238
4,n6229395657,,10.057891,53.5801316
2,n620388586,forward,10.0403939,53.5557097
2,n638908271,,10.0433543,53.5482457
12,n3950544807,,9.9781152,53.5710791
12,n6349246025,forward,9.9818132,53.5850727
12,n8297298377,backward,9.9673341,53.5724449
13,n7017930870,,9.9752925,53.5888017
8,n297474326,,10.1174563,53.5845397
8,n6207903521,,10.1072777,53.5910828
12,n8755798354,forward,9.9712661,53.5709421
8,n91831682,,10.099871,53.5869708
12,n3816068518,,9.9572761,53.5700329
0,n5925976878,forward,9.9710574,53.5503521
12,n703614572,forward,9.9730559,53.574173
0,n802333112,forward,9.9686328,53.5512644
2,n5556102955,,10.0504777,53.5551511
7,n6300855673,,9.9848955,53.4567379
2,n623781777,,10.0646846,53.5599693
8,n8561944170,forward,10.1225066,53.5870006
12,n10300539715,backward,9.9648309,53.5808267
13,n6553344401,forward,9.9751807,53.5886469
0,n6566612776,forward,9.967025,53.550012
11,n8441464447,forward,10.1879174,53.6080033
7,n7292417010,,9.9928166,53.4573222
3,n7095197914,forward,9.8579136,53.5982421
13,n9195273531,both,9.986133,53.5754784
4,n5725231014,forward,10.0317522,53.5799097
7,n6373113603,forward,9.996352,53.464444
4,n5828839532,,10.0414592,53.5830876
8,n5656902757,,10.1054062,53.5904161
5,n10248838962,backward,10.0064802,53.5060103
0,n6815443663,forward,9.9625887,53.5511913
12,n5681416141,,9.9687945,53.5851106
7,n6461327357,forward,9.9884617,53.4571934
4,n614848321,forward,10.0492867,53.5879153
0,n5717723038,forward,9.9695916,53.550824
0,n6815443668,,9.9558107,53.5519791
7,n8120554320,forward,10.0048157,53.4627024
0,n8835177798,forward,9.9628274,53.5485981
2,n8691246761,backward,10.0454789,53.5639772
5,n7472311674,backward,10.004007,53.5024429
8,n3528686848,,10.1185273,53.5852044
7,n9999902419,backward,9.9907978,53.4593175
2,n2027880626,forward,10.0408593,53.5555727
13,n499509805,,9.9983231,53.5791931
2,n5556102954,backward,10.0501877,53.5553616
8,n8640506728,forward,10.1133797,53.599471
12,n241853102,,9.9570441,53.5714121
4,n6054539198,,10.0334432,53.5837102
10,n7805832473,,10.2073333,53.4953165
5,n1920834050,forward,10.0067305,53.5059203
13,n8223839481,backward,9.9892786,53.5776501
12,n6879661948,forward,9.9699136,53.5842099
2,n623030061,,10.0553792,53.5610581
0,n6480674923,,9.9444108,53.5507394
0,n3032426988,forward,9.9654097,53.5463928
13,n8223839492,backward,9.9885698,53.5787785
7,n5682719329,forward,9.9913237,53.4546129
13,n9195273540,forward,9.9861405,53.5740523
12,n3950545425,,9.9775658,53.571592
7,n7135277341,backward,9.9824808,53.463873
0,n2782979951,forward,9.9687095,53.5510433
5,n2737886935,backward,10.0038529,53.5026967
13,n869325322,backward,9.9874596,53.5901851
7,n8727077656,backward,9.9904479,53.455367
2,n8691246748,backward,10.045007,53.5654331
12,n7442781321,backward,9.9610165,53.5740248
7,n6373113600,forward,9.998975,53.4635744
1,n7177816732,backward,10.1605981,53.6253513
8,n8561866229,forward,10.1256158,53.5840823
13,n9195273528,backward,9.9861297,53.5779131
12,n21495562,backward,9.9577576,53.5803593
4,n6367475804,backward,10.0531308,53.5846446
2,n6126299167,forward,10.0430215,53.5561162
4,n11468868689,backward,10.0433316,53.5963696
13,n6994676884,forward,9.980236,53.5888083
7,n9999902420,forward,9.9905385,53.4589579
12,n6349246022,forward,9.9814404,53.5853775
9,n1370786094,backward,9.9087889,53.6227544
0,n6815443667,,9.9604472,53.5514217
12,n8812248517,forward,9.9559667,53.5813145
2,n626938374,,10.053255,53.5609675
4,n354086426,,10.0408723,53.5802995
0,n2398431578,,9.949006,53.5491893
13,n8223839479,forward,9.9889177,53.577455
4,n6019855602,backward,10.0443028,53.5931443
0,n408782495,,9.9531946,53.5465236
12,n5795710273,backward,9.9694684,53.5719157
4,n11468868690,forward,10.0433671,53.5962667
7,n5696142830,backward,9.9905261,53.4659638
7,n7131988429,forward,10.0049659,53.4537396
0,n317949930,,9.9514183,53.5465348
10,n2153556897,both,10.216742,53.5043148
7,n337193326,,9.9895387,53.4559826
4,n3039342897,,10.0458523,53.5883529
7,n5682719392,forward,9.990203,53.455318
12,n3950544815,,9.9785107,53.5712747
8,n2759306792,,10.1097017,53.5935643
13,n5588544119,forward,9.9915388,53.5889689
2,n6206278137,,10.0573806,53.5645656
2,n2027880625,forward,10.0401918,53.5553948
0,n5716973436,,9.9551178,53.5456107
2,n3201494265,,10.0649835,53.5540571
14,n1238417198,,10.1475701,53.5215534
